BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1985;38;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1990;34;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1996;29;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2000;26;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2005;21;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2007;18;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2008;17;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2009;17;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2010;18;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2011;17;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2012;16;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2013;15;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2014;14;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2015;14;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2016;14;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2017;14;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2018;14;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2019;14;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1985;52;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1990;40;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1996;34;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2000;34;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2005;30;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2007;28;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2008;26;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2009;26;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2010;24;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2011;24;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2012;24;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2013;24;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2014;24;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2015;23;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2016;23;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2017;22;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2018;22;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2019;21;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1985;31;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1990;28;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];1996;22;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2000;21;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2005;20;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2007;19;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2008;17;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2009;17;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2010;16;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2011;16;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Landwirtschaft;Betriebe Landwirtschaft;265;Landwirtschaftsbetriebe [Anz.];2012;14;Anz.;Anzahl;
