GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1990,4944,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1991,5976,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1992,8546,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1993,11589,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1994,11356,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1995,12913,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1996,12959,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1997,14706,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1998,15793,Fr./Einw.,Franken pro Einwohner,
800000E,"Zürich, Konsolidierte Gemeinde",Jahresrechnung [Fr./Einw.],Bilanz,Bilanzwerte nach Sammelkonten,Fremdkapital,1380,202 Langfristige Schulden [Fr./Einw.],1999,15602,Fr./Einw.,Franken pro Einwohner,
