Jahr,Leib_und_Leben,Vermoegen,Freiheit,Sexuelle_Integritaet,uebrige_StGB,SVG,BetmG,andere_Vorschriften
2007,473,3407,528,92,302,750,1046,398
2008,618,4795,766,117,441,832,1196,593
2009,579,4295,767,81,637,1022,1297,758
2010,709,3782,828,83,441,837,1166,711
2011,509,3029,630,54,366,926,1153,767
2012,427,2486,511,62,251,771,1192,807
2013,256,1929,472,102,301,593,1371,1458
2014,281,2453,568,86,388,601,1335,1882
2015,229,1711,436,44,256,894,1921,2162
2016,216,2056,564,69,293,944,2207,2689
2017,196,1638,488,76,242,737,1760,2401
2018,254,2169,602,128,293,825,1507,2663
2019,330,1971,447,272,254,804,1397,2698
