Datum,Raum,Kategorisierung,Beschreibung,Link
2020-02-28,CH,Ausweitung,Besondere Lage: Verbot Grossveranstaltungen,"https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78289.html#:~:text=Bern%2C%2028.02.2020%20-%20Der,besondere%20Lage%C2%BB%20gem%C3%A4ss%20Epidemienge"
2020-03-13,CH,Ausweitung,Schulen geschlossen,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen/bundesrat.msg-id-78437.html
2020-03-17,CH,Ausweitung,"Schliessung von Läden Märkten, Restaurationsbetrieben. Ausserordentliche Lage",https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78454.html
2020-04-27,CH,Lockerung,"Erste Lockerungen: Coiffeure, Gartencenter etc.",https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78818.html
2020-05-11,CH,Lockerung,"Lockerung: Unterricht, in oblig. Schulen, Restaurants etc. ",https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-78948.html
2020-06-06,CH,Lockerung,"Lockerung: Clubs, Theater, Camping etc. ",https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-79268.html
2020-06-19,CH,Lockerung,Besondere Lage beendet,"https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-79268.html#:~:text=Dies%20hat%20der%20Bundesrat%20aufgrund,Mai%202020%20beschlossen.&text=Der%20Bundesrat%20hat%20zudem%20entschieden,Juni%202020%20zu%20beenden."
2020-07-06,CH,Ausweitung,Maskenpflicht ÖV ,"https://company.sbb.ch/de/medien/medienstelle/medienmitteilungen/detail.html/2020/7/0307-3#:~:text=Ab%20Montag%2C%206.%20Juli%202020,und%20Seilbahnen%20eine%20Maske%20tragen.&text=Aus%20Sicherheitsgr%C3%BCnden%20keine%20Maske%20tr%C3%A4gt%20das%20Fahrpersonal%20in%20den%20F%C3%BChrerst%C3%A4nden."
2020-07-22,CH,Lockerung,"Lockerung: Abstand 1.5m, keine Sitzpflicht in Bars etc. ",https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-79522.html
2020-08-22,ZH,Ausweitung,Maskenpflicht in Läden ,https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2020/08/regierungsrat-beschliesst-weitere-massnahmen-zur-eindaemmung-der-ausbreitung.html
2020-10-01,CH,Lockerung,Lockerung: Grossveranstaltungen,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-80054.html
2020-10-19,CH,Ausweitung,"Einheitliche Maskenpflicht,  Home-Office empfohlen etc. ",https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/news/news-18-10-2020.html
2020-10-29,CH,Ausweitung,"Ausdehnung Maskenpflicht, Hochschulen geschlossen etc.",https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-80882.html
2020-12-09,CH,Ausweitung,"Singen verboten, Auflagen für Ski-Gebiete, 2-Haushalte-Regel empfohlen etc.",https://www.bag.admin.ch/bag/de/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html
2020-12-10,ZH,Ausweitung,"Ausweitung Sperrstunde, Versammlungen eingeschränkt, Verbot Sonntagsverkäufe  2 Haushalte-Regel obligatorisch etc.",https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2020/12/regierungsrat-verschaerft-massnahmen-zur-eindaemmung-der-corona-.html
2020-12-11,CH,Ausweitung,Sperrstunde 19.00; Sonntagsschliessung etc.,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-81582.html
2020-12-22,CH,Ausweitung,"Schliessung von Gastro, Freizeit- und Sportanlagen",https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-81745.html
2021-01-18,CH,Ausweitung,"Schliessung von Läden, Märkten, Home-Office-Pflicht",https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-81967.html
2021-01-25,ZH,Ausweitung,Maskenpflicht und verminderte Anwesenheit an Schulen,https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2021/01/masken-ab-der-4-klasse-und-unterricht-mit-reduzierter-schuelerzahl-an-den-mittellschulen.html
2021-03-01,CH,Lockerung,"Öffnung von Läden, Museen",https://www.bag.admin.ch/bag/de/home/das-bag/aktuell/medienmitteilungen.msg-id-82371.html
2020-07-03,Bezirk Zürich,Ferien,Sommerferien Start,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2020_2021/schulferiendaten_zuerich.pdf
2020-08-14,Bezirk Zürich,Ferien,Sommerferien Ende,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2020_2021/schulferiendaten_zuerich.pdf
2020-10-08,Bezirk Zürich,Ferien,Herbstferien Start,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2020_2021/schulferiendaten_zuerich.pdf
2020-10-16,Bezirk Zürich,Ferien,Herbstferien Ende,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2020_2021/schulferiendaten_zuerich.pdf
2020-12-23,Bezirk Zürich,Ferien,Weihnachtsferien Start,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2019_2020/schulferiendaten_zuerich.pdf
2021-01-03,Bezirk Zürich,Ferien,Weihnachtsferien Ende,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2019_2020/schulferiendaten_zuerich.pdf
2021-02-15,Bezirk Zürich,Ferien,Sporferien Start,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2019_2020/schulferiendaten_zuerich.pdf
2021-02-26,Bezirk Zürich,Ferien,Sportferien Ende,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/bildung/bildungssystem/schulferien/volksschulen/2019_2020/schulferiendaten_zuerich.pdf
