BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1974;156;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1975;154;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1976;153;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1977;154;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1978;159;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1979;168;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1980;182;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1981;201;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1982;222;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1983;244;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1984;268;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1985;291;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1986;321;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1987;361;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1988;421;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1989;500;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1990;586;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1991;655;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1992;691;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1993;706;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1994;707;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1995;692;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1996;670;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1997;655;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1998;642;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1999;639;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2000;639;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2001;641;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2002;637;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2003;634;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2004;633;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2005;643;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2006;658;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2007;676;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2008;695;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2009;714;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2010;742;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2011;788;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2012;844;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2013;905;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2014;953;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2015;976;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2016;978;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2017;948;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2018;893;Fr./m2;Franken pro Quadratmeter;
1;Aeugst a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];2019;814;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1974;142;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1975;143;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1976;146;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1977;152;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1978;161;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1979;173;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1980;189;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1981;209;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1982;231;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1983;254;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1984;277;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1985;301;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1986;333;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1987;374;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1988;437;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1989;519;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1990;605;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1991;670;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1992;698;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1993;704;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1994;696;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1995;674;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1996;649;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1997;633;Fr./m2;Franken pro Quadratmeter;
2;Affoltern a.A.;Bau und Immobilien;Immobilienhandel;Baulandpreis;477;Baulandpreis Modell (Median) [Fr./m2];1998;623;Fr./m2;Franken pro Quadratmeter;
