label;nb_visits;nb_hits;nb_hits_with_time_generation;min_time_generation;max_time_generation;sum_time_spent;bounce_count;exit_nb_visits;sum_daily_nb_uniq_visitors;avg_time_on_dimension;bounce_rate;exit_rate;avg_time_generation;Metadata: segment
wms-orthofoto-zh;46;90;45;14.203;25.362;3628;0;8;46;40;0%;17%;1.374;dimension2==wms-orthofoto-zh
gesamtsteuerfuss-ohne-kirchen;45;50;31;19.388;26.747;1297;1;16;45;26;2%;36%;1.066;dimension2==gesamtsteuerfuss-ohne-kirchen
strassennetz;44;58;32;27.638;35.29;2994;2;10;44;52;5%;23%;1.55;dimension2==strassennetz
bevolkerungsdichte-einw-km2;28;39;33;39.011;48.271;539;13;20;28;14;46%;71%;2.084;dimension2==bevolkerungsdichte-einw-km2
ov-anteil-modal-split;27;41;24;5.98;15.412;670;3;8;27;16;11%;30%;0.713;dimension2==ov-anteil-modal-split
amtliche-vermessung-liegenschaften-dm01avzh24;26;40;24;16.43;23.545;1452;1;7;26;36;4%;27%;1.412;dimension2==amtliche-vermessung-liegenschaften-dm01avzh24
gemeindegrenzen;23;37;18;24.328;35.216;768;0;4;23;21;0%;17%;2.231;dimension2==gemeindegrenzen
lidar-laserscanning-geodaten;22;27;18;74.251;77.024;1354;1;7;22;50;5%;32%;4.363;dimension2==lidar-laserscanning-geodaten
steuerfuss-juristische-personen;22;25;20;16.217;18.988;297;2;3;22;12;9%;14%;1.377;dimension2==steuerfuss-juristische-personen
amtliche-vermessung-postleitzahl-ortschaften-dm01avzh24;19;31;18;16.198;18.114;3546;0;2;18;114;0%;11%;1.327;dimension2==amtliche-vermessung-postleitzahl-ortschaften-dm01avzh24
ortschaften-und-postleitzahlregionen;19;51;25;15.691;25.62;1342;0;1;19;26;0%;5%;1.421;dimension2==ortschaften-und-postleitzahlregionen
digitales-terrainmodell-dtm;16;24;17;19.619;22.919;1922;1;5;16;80;6%;31%;1.838;dimension2==digitales-terrainmodell-dtm
wms-amtliche-vermessung-avwms;16;17;13;23.13;23.608;344;3;5;16;20;19%;31%;1.925;dimension2==wms-amtliche-vermessung-avwms
wcs-digitales-terrain-dtm-und-oberflachenmodell-dom-kanton-zurich;14;21;14;11.826;13.764;648;2;5;14;31;14%;36%;1.296;dimension2==wcs-digitales-terrain-dtm-und-oberflachenmodell-dom-kanton-zurich
wfs-fur-open-government-data-des-kantons-zurich-ogd-zh-wfs;14;21;10;8.661;11.834;182;1;4;14;9;7%;29%;1.185;dimension2==wfs-fur-open-government-data-des-kantons-zurich-ogd-zh-wfs
amtliche-vermessung-gebaudeadressen-dm01avzh24;13;18;9;6.408;7.538;597;0;2;13;33;0%;15%;1.072;dimension2==amtliche-vermessung-gebaudeadressen-dm01avzh24
veloinfrastruktur-radwege-und-radstreifen;13;17;7;8.42;8.42;344;1;5;13;20;8%;38%;1.203;dimension2==veloinfrastruktur-radwege-und-radstreifen
allgemeiner-wms-fur-open-government-data-des-kantons-zurich-ogd-zh-wms;12;17;9;5.506;8.208;708;0;4;12;42;0%;33%;1.073;dimension2==allgemeiner-wms-fur-open-government-data-des-kantons-zurich-ogd-zh-wms
amtliche-vermessung-bodenbedeckung-dm01avzh24;12;14;8;14.353;14.353;243;0;4;12;17;0%;33%;1.794;dimension2==amtliche-vermessung-bodenbedeckung-dm01avzh24
baulandpreis-modell-median-fr-m2;12;16;9;5.495;5.575;214;1;3;12;13;8%;25%;0.62;dimension2==baulandpreis-modell-median-fr-m2
landwirtschaftliche-nutzungseignung;11;14;7;11.081;11.081;808;0;3;11;58;0%;27%;1.583;dimension2==landwirtschaftliche-nutzungseignung
wasserrechte;11;17;8;7.741;10.933;300;0;3;11;18;0%;27%;1.372;dimension2==wasserrechte
