Stand_Gemeindegrenzen,Bezirk_Bezeichnung,Gemeinde_BFSCode,Gemeinde_Bezeichnung,Total_Abschluss_GYM,Total_19_Jahre_alt,Maturitätsquote_GYM
2019,Bezirk Affoltern,1,Aeugst am Albis,27,95,28.42
2019,Bezirk Affoltern,2,Affoltern am Albis,69,474,14.56
2019,Bezirk Affoltern,3,Bonstetten,59,208,28.37
2019,Bezirk Affoltern,4,Hausen am Albis,28,169,16.57
2019,Bezirk Affoltern,5,Hedingen,48,169,28.40
2019,Bezirk Affoltern,6,Kappel am Albis,,42,
2019,Bezirk Affoltern,7,Knonau,7,85,8.24
2019,Bezirk Affoltern,8,Maschwanden,,28,
2019,Bezirk Affoltern,9,Mettmenstetten,41,216,18.98
2019,Bezirk Affoltern,10,Obfelden,34,227,14.98
2019,Bezirk Affoltern,11,Ottenbach,15,113,13.27
2019,Bezirk Affoltern,12,Rifferswil,,36,
2019,Bezirk Affoltern,13,Stallikon,38,133,28.57
2019,Bezirk Affoltern,14,Wettswil am Albis,56,178,31.46
2019,Bezirk Andelfingen,21,Adlikon,,14,
2019,Bezirk Andelfingen,22,Benken (ZH),,40,
2019,Bezirk Andelfingen,23,Berg am Irchel,,18,
2019,Bezirk Andelfingen,24,Buch am Irchel,,27,
2019,Bezirk Andelfingen,25,Dachsen,8,96,8.33
2019,Bezirk Andelfingen,26,Dorf,,44,
2019,Bezirk Andelfingen,27,Feuerthalen,1,140,.71
2019,Bezirk Andelfingen,28,Flaach,8,69,11.59
2019,Bezirk Andelfingen,29,Flurlingen,5,77,6.49
2019,Bezirk Andelfingen,30,Andelfingen,18,86,20.93
2019,Bezirk Andelfingen,31,Henggart,28,135,20.74
2019,Bezirk Andelfingen,32,Humlikon,,26,
2019,Bezirk Andelfingen,33,Kleinandelfingen,16,81,19.75
2019,Bezirk Andelfingen,34,Laufen-Uhwiesen,7,85,8.24
2019,Bezirk Andelfingen,35,Marthalen,2,76,2.63
2019,Bezirk Andelfingen,37,Ossingen,17,87,19.54
2019,Bezirk Andelfingen,38,Rheinau,11,56,19.64
2019,Bezirk Andelfingen,39,Thalheim an der Thur,,40,
2019,Bezirk Andelfingen,40,Trüllikon,,34,
2019,Bezirk Andelfingen,41,Truttikon,,34,
2019,Bezirk Andelfingen,43,Volken,,12,
2019,Bezirk Andelfingen,292,Stammheim,12,133,9.02
2019,Bezirk Bülach,51,Bachenbülach,38,171,22.22
2019,Bezirk Bülach,52,Bassersdorf,74,519,14.26
2019,Bezirk Bülach,53,Bülach,117,825,14.18
