"attr_value_id","attr_id","attr_value_name_de","attr_value_name_fr","attr_value_name_it","attr_value_name_en"
1,1,"Männer","Männer","Männer","Männer"
2,1,"Frauen","Frauen","Frauen","Frauen"
3,1,"Total","Total","Total","Total"
4,2,"Schweiz","Schweiz","Schweiz","Schweiz"
5,2,"Ausland","Ausland","Ausland","Ausland"
6,2,"Total","Total","Total","Total"
7,3,"Alter Total","Alter Total","Alter Total","Alter Total"
8,3,"1-jährig","1-jährig","1-jährig","1-jährig"
9,3,"2-jährig","2-jährig","2-jährig","2-jährig"
10,3,"3-jährig","3-jährig","3-jährig","3-jährig"
11,3,"4-jährig","4-jährig","4-jährig","4-jährig"
12,3,"5-jährig","5-jährig","5-jährig","5-jährig"
13,3,"6-jährig","6-jährig","6-jährig","6-jährig"
14,3,"7-jährig","7-jährig","7-jährig","7-jährig"
15,3,"8-jährig","8-jährig","8-jährig","8-jährig"
16,3,"9-jährig","9-jährig","9-jährig","9-jährig"
17,3,"10-jährig","10-jährig","10-jährig","10-jährig"
18,3,"11-jährig","11-jährig","11-jährig","11-jährig"
19,3,"12-jährig","12-jährig","12-jährig","12-jährig"
20,3,"13-jährig","13-jährig","13-jährig","13-jährig"
21,3,"14-jährig","14-jährig","14-jährig","14-jährig"
22,3,"15-jährig","15-jährig","15-jährig","15-jährig"
23,3,"16-jährig","16-jährig","16-jährig","16-jährig"
24,3,"17-jährig","17-jährig","17-jährig","17-jährig"
25,3,"18-jährig","18-jährig","18-jährig","18-jährig"
26,3,"19-jährig","19-jährig","19-jährig","19-jährig"
27,3,"20-jährig","20-jährig","20-jährig","20-jährig"
28,3,"21-jährig","21-jährig","21-jährig","21-jährig"
29,3,"22-jährig","22-jährig","22-jährig","22-jährig"
30,3,"23-jährig","23-jährig","23-jährig","23-jährig"
31,3,"24-jährig","24-jährig","24-jährig","24-jährig"
32,3,"25-jährig","25-jährig","25-jährig","25-jährig"
33,3,"26-jährig","26-jährig","26-jährig","26-jährig"
34,3,"27-jährig","27-jährig","27-jährig","27-jährig"
35,3,"28-jährig","28-jährig","28-jährig","28-jährig"
36,3,"29-jährig","29-jährig","29-jährig","29-jährig"
37,3,"30-jährig","30-jährig","30-jährig","30-jährig"
38,3,"31-jährig","31-jährig","31-jährig","31-jährig"
39,3,"32-jährig","32-jährig","32-jährig","32-jährig"
40,3,"33-jährig","33-jährig","33-jährig","33-jährig"
41,3,"34-jährig","34-jährig","34-jährig","34-jährig"
42,3,"35-jährig","35-jährig","35-jährig","35-jährig"
43,3,"36-jährig","36-jährig","36-jährig","36-jährig"
44,3,"37-jährig","37-jährig","37-jährig","37-jährig"
45,3,"38-jährig","38-jährig","38-jährig","38-jährig"
46,3,"39-jährig","39-jährig","39-jährig","39-jährig"
47,3,"40-jährig","40-jährig","40-jährig","40-jährig"
48,3,"41-jährig","41-jährig","41-jährig","41-jährig"
49,3,"42-jährig","42-jährig","42-jährig","42-jährig"
50,3,"43-jährig","43-jährig","43-jährig","43-jährig"
51,3,"44-jährig","44-jährig","44-jährig","44-jährig"
52,3,"45-jährig","45-jährig","45-jährig","45-jährig"
53,3,"46-jährig","46-jährig","46-jährig","46-jährig"
54,3,"47-jährig","47-jährig","47-jährig","47-jährig"
55,3,"48-jährig","48-jährig","48-jährig","48-jährig"
56,3,"49-jährig","49-jährig","49-jährig","49-jährig"
57,3,"50-jährig","50-jährig","50-jährig","50-jährig"
58,3,"51-jährig","51-jährig","51-jährig","51-jährig"
59,3,"52-jährig","52-jährig","52-jährig","52-jährig"
60,3,"53-jährig","53-jährig","53-jährig","53-jährig"
61,3,"54-jährig","54-jährig","54-jährig","54-jährig"
62,3,"55-jährig","55-jährig","55-jährig","55-jährig"
63,3,"56-jährig","56-jährig","56-jährig","56-jährig"
64,3,"57-jährig","57-jährig","57-jährig","57-jährig"
65,3,"58-jährig","58-jährig","58-jährig","58-jährig"
66,3,"59-jährig","59-jährig","59-jährig","59-jährig"
67,3,"60-jährig","60-jährig","60-jährig","60-jährig"
68,3,"61-jährig","61-jährig","61-jährig","61-jährig"
69,3,"62-jährig","62-jährig","62-jährig","62-jährig"
70,3,"63-jährig","63-jährig","63-jährig","63-jährig"
71,3,"64-jährig","64-jährig","64-jährig","64-jährig"
72,3,"65-jährig","65-jährig","65-jährig","65-jährig"
73,3,"66-jährig","66-jährig","66-jährig","66-jährig"
74,3,"67-jährig","67-jährig","67-jährig","67-jährig"
75,3,"68-jährig","68-jährig","68-jährig","68-jährig"
76,3,"69-jährig","69-jährig","69-jährig","69-jährig"
77,3,"70-jährig","70-jährig","70-jährig","70-jährig"
78,3,"71-jährig","71-jährig","71-jährig","71-jährig"
79,3,"72-jährig","72-jährig","72-jährig","72-jährig"
80,3,"73-jährig","73-jährig","73-jährig","73-jährig"
81,3,"74-jährig","74-jährig","74-jährig","74-jährig"
82,3,"75-jährig","75-jährig","75-jährig","75-jährig"
83,3,"76-jährig","76-jährig","76-jährig","76-jährig"
84,3,"77-jährig","77-jährig","77-jährig","77-jährig"
85,3,"78-jährig","78-jährig","78-jährig","78-jährig"
86,3,"79-jährig","79-jährig","79-jährig","79-jährig"
