"class_id","class_name","name_de","name_fr","name_it","name_en","description_de","description_fr","description_it","description_en","unit_short_de","unit_short_fr","unit_short_it","unit_short_en","unit_long_de","unit_long_fr","unit_long_it","unit_long_en","source","dim1_id","dim2_id","dim3_id","dim4_id","dim5_id","dim6_id","min_year","max_year","last_updated"
"1_01_001","resident_population","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung","Ständige Wohnbevölkerung","Resident Population","Ständige Bevölkerung","Ständige Bevölkerung","Ständige Bevölkerung","Ständige Bevölkerung","Pers.","Pers.","Pers.","Pers.","Personen","Personen","Personen","Personen","BFS-STATPOP",1,2,3,NA,NA,NA,2010,2020,NA
"1_01_004","nativity","Geburten","Geburten","Geburten","Nativity","Geburten","Geburten","Geburten","Geburten","Pers.","Pers.","Pers.","Pers.","Personen","Personen","Personen","Personen","BFS-BEVNAT",1,2,4,NA,NA,NA,1969,2020,NA
"1_02_001","employee","Beschäftigte","Beschäftigte","Beschäftigte","Employee","Beschäftigte","Beschäftigte","Beschäftigte","Beschäftigte","Pers.","Pers.","Pers.","Pers.","Personen","Personen","Personen","Personen","BFS-STATENT",1,5,NA,NA,NA,NA,2011,2018,18998
"1_02_002","employee_per_1000_residents","Beschäftigte pro 1000 Einwohner","Beschäftigte pro 1000 Einwohner","Beschäftigte pro 1000 Einwohner","Employee per 1000 residents","Beschäftigte pro 1000 Einwohner","Beschäftigte pro 1000 Einwohner","Beschäftigte pro 1000 Einwohner","Beschäftigte pro 1000 Einwohner","Pers./1000 Einw.","Pers./1000 Einw.","Pers./1000 Einw.","Pers./1000 Einw.","Personen pro 1000 Einwohner","Personen pro 1000 Einwohner","Personen pro 1000 Einwohner","Personen pro 1000 Einwohner","BFS-STATENT",1,5,NA,NA,NA,NA,2011,2018,NA
"1_02_003","fulltime_equivalent","Vollzeitäquivalente","Vollzeitäquivalente","Vollzeitäquivalente","Fulltime_equivalent","Vollzeitäquivalente","Vollzeitäquivalente","Vollzeitäquivalente","Vollzeitäquivalente","VZÄ","VZÄ","VZÄ","VZÄ","Vollzeitäquivalente","Vollzeitäquivalente","Vollzeitäquivalente","Vollzeitäquivalente","BFS-STATENT",1,5,NA,NA,NA,NA,2015,2018,18998
"1_02_004","fulltime_equivalent_per_1000_residents","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","Fulltime equivalent per 1000 residents","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","VZÄ/1000 Einw.","VZÄ/1000 Einw.","VZÄ/1000 Einw.","VZÄ/1000 Einw.","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","Vollzeitäquivalente pro 1000 Einwohner","BFS-STATENT",1,5,NA,NA,NA,NA,2015,2018,NA
"1_07_001","one_family_houses","Einfamilienhäuser","Einfamilienhäuser","Einfamilienhäuser","One family houses","Einfamilienhäuser","Einfamilienhäuser","Einfamilienhäuser","Einfamilienhäuser","Gebäude","Gebäude","Gebäude","Buildings","Gebäude","Gebäude","Gebäude","Buildings","BFS-GWS",6,7,NA,NA,NA,NA,2009,2020,18998
"1_07_002","one_family_houses_per_1000_residents","Einfamilienhäuser pro 1000 Einwohner","Einfamilienhäuser pro 1000 Einwohner","Einfamilienhäuser pro 1000 Einwohner","One family houses per 1000 residents","Einfamilienhäuser pro 1000 Einwohner","Einfamilienhäuser pro 1000 Einwohner","Einfamilienhäuser pro 1000 Einwohner","Einfamilienhäuser pro 1000 Einwohner","Gebäude","Gebäude","Gebäude","Buildings","Gebäude","Gebäude","Gebäude","Buildings","BFS-GWS",6,7,NA,NA,NA,NA,2009,2020,NA
"1_07_003","apartment_buildings","Mehrfamilienhäuser","Mehrfamilienhäuser","Mehrfamilienhäuser","Apartment buildings","Mehrfamilienhäuser","Mehrfamilienhäuser","Mehrfamilienhäuser","Mehrfamilienhäuser","Gebäude","Gebäude","Gebäude","Buildings","Gebäude","Gebäude","Gebäude","Buildings","BFS-GWS",6,7,NA,NA,NA,NA,2009,2020,18998
"1_07_004","apartment_buildings_per_1000_residents","Mehrfamilienhäuser pro 1000 Einwohner","Mehrfamilienhäuser pro 1000 Einwohner","Mehrfamilienhäuser pro 1000 Einwohner","Apartment buildings per 1000 residents","Mehrfamilienhäuser pro 1000 Einwohner","Mehrfamilienhäuser pro 1000 Einwohner","Mehrfamilienhäuser pro 1000 Einwohner","Mehrfamilienhäuser pro 1000 Einwohner","Gebäude","Gebäude","Gebäude","Buildings","Gebäude","Gebäude","Gebäude","Buildings","BFS-GWS",6,7,NA,NA,NA,NA,2009,2020,NA
"1_07_005","residential_buildings_with_secondary_use","Wohngebäude mit Nebennutzung","Wohngebäude mit Nebennutzung","Wohngebäude mit Nebennutzung","Residential buildings with secondary use","Wohngebäude mit Nebennutzung","Wohngebäude mit Nebennutzung","Wohngebäude mit Nebennutzung","Wohngebäude mit Nebennutzung","Gebäude","Gebäude","Gebäude","Buildings","Gebäude","Gebäude","Gebäude","Buildings","BFS-GWS",6,7,NA,NA,NA,NA,2009,2020,18998
"1_07_006","residential_buildings_with_secondary_use_per_1000_residents","Wohngebäude mit Nebennutzung pro 1000 Einwohner","Wohngebäude mit Nebennutzung pro 1000 Einwohner","Wohngebäude mit Nebennutzung pro 1000 Einwohner","Residential buildings with secondary use per 1000 residents","Wohngebäude mit Nebennutzung pro 1000 Einwohner","Wohngebäude mit Nebennutzung pro 1000 Einwohner","Wohngebäude mit Nebennutzung pro 1000 Einwohner","Wohngebäude mit Nebennutzung pro 1000 Einwohner","Gebäude","Gebäude","Gebäude","Buildings","Gebäude","Gebäude","Gebäude","Buildings","BFS-GWS",6,7,NA,NA,NA,NA,2009,2020,NA
"1_07_007","buildings_with_partial_residential_use","Gebäude mit teilweiser Wohnnutzung","Gebäude mit teilweiser Wohnnutzung","Gebäude mit teilweiser Wohnnutzung","Buildings with partial residential use","Gebäude mit teilweiser Wohnnutzung","Gebäude mit teilweiser Wohnnutzung","Gebäude mit teilweiser Wohnnutzung","Gebäude mit teilweiser Wohnnutzung","Gebäude","Gebäude","Gebäude","Buildings","Gebäude","Gebäude","Gebäude","Buildings","BFS-GWS",6,7,NA,NA,NA,NA,2009,2020,18998
