"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
3,"age","Alter","Alter","Alter","Age",-1,"Alter Total","Alter Total","Alter Total","Age Total"
3,"age","Alter","Alter","Alter","Age",0,"0-jährig","0-jährig","0-jährig","0-years old"
3,"age","Alter","Alter","Alter","Age",1,"1-jährig","1-jährig","1-jährig","1-years old"
3,"age","Alter","Alter","Alter","Age",2,"2-jährig","2-jährig","2-jährig","2-years old"
3,"age","Alter","Alter","Alter","Age",3,"3-jährig","3-jährig","3-jährig","3-years old"
3,"age","Alter","Alter","Alter","Age",4,"4-jährig","4-jährig","4-jährig","4-years old"
3,"age","Alter","Alter","Alter","Age",5,"5-jährig","5-jährig","5-jährig","5-years old"
3,"age","Alter","Alter","Alter","Age",6,"6-jährig","6-jährig","6-jährig","6-years old"
3,"age","Alter","Alter","Alter","Age",7,"7-jährig","7-jährig","7-jährig","7-years old"
3,"age","Alter","Alter","Alter","Age",8,"8-jährig","8-jährig","8-jährig","8-years old"
3,"age","Alter","Alter","Alter","Age",9,"9-jährig","9-jährig","9-jährig","9-years old"
3,"age","Alter","Alter","Alter","Age",10,"10-jährig","10-jährig","10-jährig","10-years old"
3,"age","Alter","Alter","Alter","Age",11,"11-jährig","11-jährig","11-jährig","11-years old"
3,"age","Alter","Alter","Alter","Age",12,"12-jährig","12-jährig","12-jährig","12-years old"
3,"age","Alter","Alter","Alter","Age",13,"13-jährig","13-jährig","13-jährig","13-years old"
3,"age","Alter","Alter","Alter","Age",14,"14-jährig","14-jährig","14-jährig","14-years old"
3,"age","Alter","Alter","Alter","Age",15,"15-jährig","15-jährig","15-jährig","15-years old"
3,"age","Alter","Alter","Alter","Age",16,"16-jährig","16-jährig","16-jährig","16-years old"
3,"age","Alter","Alter","Alter","Age",17,"17-jährig","17-jährig","17-jährig","17-years old"
3,"age","Alter","Alter","Alter","Age",18,"18-jährig","18-jährig","18-jährig","18-years old"
3,"age","Alter","Alter","Alter","Age",19,"19-jährig","19-jährig","19-jährig","19-years old"
3,"age","Alter","Alter","Alter","Age",20,"20-jährig","20-jährig","20-jährig","20-years old"
3,"age","Alter","Alter","Alter","Age",21,"21-jährig","21-jährig","21-jährig","21-years old"
3,"age","Alter","Alter","Alter","Age",22,"22-jährig","22-jährig","22-jährig","22-years old"
3,"age","Alter","Alter","Alter","Age",23,"23-jährig","23-jährig","23-jährig","23-years old"
3,"age","Alter","Alter","Alter","Age",24,"24-jährig","24-jährig","24-jährig","24-years old"
3,"age","Alter","Alter","Alter","Age",25,"25-jährig","25-jährig","25-jährig","25-years old"
3,"age","Alter","Alter","Alter","Age",26,"26-jährig","26-jährig","26-jährig","26-years old"
3,"age","Alter","Alter","Alter","Age",27,"27-jährig","27-jährig","27-jährig","27-years old"
