"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","-1","Altersklasse des Ehemannes - Total","Classe d'âge de l'époux - total","Classe d'età del marito - totale","Age class of husband - total"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","1","Unter 20 Jahren","Moins de 20 ans","Meno di 20 anni","Less than 20 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","2","20-29 Jahre","20-29 ans","20-29 anni","20-29 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","3","30-39 Jahre","30-39 ans","30-39 anni","30-39 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","4","40-49 Jahre","40-49 ans","40-49 anni","40-49 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","5","50-59 Jahre","50-59 ans","50-59 anni","50-59 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","6","60-69 Jahre","60-69 ans","60-69 anni","60-69 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","7","70-79 Jahre","70-79 ans","70-79 anni","70-79 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","8","80-89 Jahre","80-89 ans","80-89 anni","80-89 years"
40,"age_class_husband","Altersklasse des Ehemannes","Classe d âge de l époux","Classe d età del marito","Age class of husband","9","90 Jahre und mehr","90 ans ou plus","90 anni o più","90 years or older"
