"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","-1","Altersklasse - Total","Classe d'âge - total","Classe d'età - totale","Age class - total"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","0","0-4 Jahre","0-4 ans","0-4 anni","0-4 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","5","5-9 Jahre","5-9 ans","5-9 anni","5-9 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","10","10-14 Jahre","10-14 ans","10-14 anni","10-14 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","15","15-19 Jahre","15-19 ans","15-19 anni","15-19 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","20","20-24 Jahre","20-24 ans","20-24 anni","20-24 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","25","25-29 Jahre","25-29 ans","25-29 anni","25-29 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","30","30-34 Jahre","30-34 ans","30-34 anni","30-34 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","35","35-39 Jahre","35-39 ans","35-39 anni","35-39 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","40","40-44 Jahre","40-44 ans","40-44 anni","40-44 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","45","45-49 Jahre","45-49 ans","45-49 anni","45-49 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","50","50-54 Jahre","50-54 ans","50-54 anni","50-54 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","55","55-59 Jahre","55-59 ans","55-59 anni","55-59 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","60","60-64 Jahre","60-64 ans","60-64 anni","60-64 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","65","65-69 Jahre","65-69 ans","65-69 anni","65-69 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","70","70-74 Jahre","70-74 ans","70-74 anni","70-74 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","75","75-79 Jahre","75-79 ans","75-79 anni","75-79 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","80","80-84 Jahre","80-84 ans","80-84 anni","80-84 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","85","85-89 Jahre","85-89 ans","85-89 anni","85-89 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","90","90-94 Jahre","90-94 ans","90-94 anni","90-94 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","95","95-99 Jahre","95-99 ans","95-99 anni","95-99 years"
61,"age_group_5","Altersklasse","Classe d âge","Classe d età","Age class","100","100 Jahre und mehr","100 ans ou plus","100 anni o più","100 years or older"
