"dim_id","unique_name","dim_name_de","dim_name_fr","dim_name_it","dim_name_en","value_id","value_name_de","value_name_fr","value_name_it","value_name_en"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","-1","Staatsangehörigkeit der Ehefrau - Total","Nationalité de l'épouse - total","Nazionalità della moglie - totale","Citizenship of wife - total"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8100","Schweiz","Suisse","Svizzera","Switzerland"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8204","Belgien","Belgique","Belgio","Belgium"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8205","Bulgarien","Bulgarie","Bulgaria","Bulgaria"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8206","Dänemark","Danemark","Danimarca","Denmark"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8207","Deutschland","Allemagne","Germania","Germany"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8211","Finnland","Finlande","Finlandia","Finland"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8212","Frankreich","France","Francia","France"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8214","Griechenland","Grèce","Grecia","Greece"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8215","Vereinigtes Königreich","Royaume-Uni","Regno Unito","United Kingdom"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8216","Irland","Irlande","Irlanda","Ireland"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8217","Island","Islande","Islanda","Iceland"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8218","Italien","Italie","Italia","Italy"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8220","Jugoslawien","Yougoslavie","Jugoslavia","Yugoslavia"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8222","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein"
43,"citizenship_selection_wife","Staatsangehörigkeit Auswahl der Ehefrau","Nationalité sélection de l épouse","Nazionalità selezione della moglie","Citizenship selection of wife","8223","Luxemburg","Luxembourg","Lussemburgo","Luxembourg"
