"indicator_id","spatialunit_id","time_value","timeinfo_id","value","dim1_value_id","dim2_value_id","dim3_value_id","dim4_value_id"
32001,"0",2016,1,"41290.76",NA,NA,NA,NA
32001,"1",2016,1,"7.91",NA,NA,NA,NA
32001,"2",2016,1,"10.59",NA,NA,NA,NA
32001,"3",2016,1,"7.43",NA,NA,NA,NA
32001,"4",2016,1,"13.6",NA,NA,NA,NA
32001,"5",2016,1,"6.53",NA,NA,NA,NA
32001,"6",2016,1,"7.92",NA,NA,NA,NA
32001,"7",2016,1,"6.47",NA,NA,NA,NA
32001,"8",2016,1,"4.69",NA,NA,NA,NA
32001,"9",2016,1,"13.03",NA,NA,NA,NA
32001,"10",2016,1,"7.54",NA,NA,NA,NA
32001,"11",2016,1,"5.02",NA,NA,NA,NA
32001,"12",2016,1,"6.51",NA,NA,NA,NA
32001,"13",2016,1,"12.02",NA,NA,NA,NA
32001,"14",2016,1,"3.77",NA,NA,NA,NA
32001,"21",2016,1,"6.58",NA,NA,NA,NA
32001,"22",2016,1,"5.66",NA,NA,NA,NA
32001,"23",2016,1,"7.01",NA,NA,NA,NA
32001,"24",2016,1,"10.21",NA,NA,NA,NA
32001,"25",2016,1,"2.7",NA,NA,NA,NA
32001,"26",2016,1,"5.56",NA,NA,NA,NA
32001,"27",2016,1,"2.48",NA,NA,NA,NA
32001,"28",2016,1,"10.17",NA,NA,NA,NA
32001,"29",2016,1,"2.41",NA,NA,NA,NA
32001,"30",2016,1,"6.74",NA,NA,NA,NA
32001,"31",2016,1,"3.03",NA,NA,NA,NA
32001,"32",2016,1,"3.68",NA,NA,NA,NA
32001,"33",2016,1,"10.29",NA,NA,NA,NA
32001,"34",2016,1,"6.28",NA,NA,NA,NA
32001,"35",2016,1,"14.13",NA,NA,NA,NA
32001,"37",2016,1,"13.09",NA,NA,NA,NA
32001,"38",2016,1,"8.93",NA,NA,NA,NA
32001,"39",2016,1,"6.44",NA,NA,NA,NA
32001,"40",2016,1,"9.56",NA,NA,NA,NA
32001,"41",2016,1,"4.41",NA,NA,NA,NA
32001,"43",2016,1,"3.2",NA,NA,NA,NA
32001,"51",2016,1,"4.31",NA,NA,NA,NA
32001,"52",2016,1,"9.03",NA,NA,NA,NA
32001,"53",2016,1,"16.09",NA,NA,NA,NA
32001,"54",2016,1,"4.25",NA,NA,NA,NA
32001,"55",2016,1,"9.06",NA,NA,NA,NA
32001,"56",2016,1,"12.7",NA,NA,NA,NA
32001,"57",2016,1,"8.4",NA,NA,NA,NA
32001,"58",2016,1,"12.3",NA,NA,NA,NA
32001,"59",2016,1,"6.17",NA,NA,NA,NA
32001,"60",2016,1,"4.79",NA,NA,NA,NA
32001,"61",2016,1,"4.91",NA,NA,NA,NA
32001,"62",2016,1,"19.27",NA,NA,NA,NA
32001,"63",2016,1,"5.18",NA,NA,NA,NA
32001,"64",2016,1,"10.04",NA,NA,NA,NA
32001,"65",2016,1,"10.26",NA,NA,NA,NA
32001,"66",2016,1,"5.59",NA,NA,NA,NA
32001,"67",2016,1,"10.68",NA,NA,NA,NA
32001,"68",2016,1,"4.44",NA,NA,NA,NA
32001,"69",2016,1,"6.42",NA,NA,NA,NA
32001,"70",2016,1,"3.96",NA,NA,NA,NA
32001,"71",2016,1,"8.95",NA,NA,NA,NA
32001,"72",2016,1,"8.11",NA,NA,NA,NA
32001,"81",2016,1,"9.13",NA,NA,NA,NA
32001,"82",2016,1,"3.96",NA,NA,NA,NA
32001,"83",2016,1,"5.84",NA,NA,NA,NA
32001,"84",2016,1,"4.51",NA,NA,NA,NA
32001,"85",2016,1,"2.87",NA,NA,NA,NA
32001,"86",2016,1,"5.87",NA,NA,NA,NA
32001,"87",2016,1,"1.59",NA,NA,NA,NA
32001,"88",2016,1,"6.04",NA,NA,NA,NA
32001,"89",2016,1,"3.6",NA,NA,NA,NA
32001,"90",2016,1,"11.3",NA,NA,NA,NA
32001,"91",2016,1,"6.85",NA,NA,NA,NA
32001,"92",2016,1,"8.25",NA,NA,NA,NA
32001,"93",2016,1,"4.94",NA,NA,NA,NA
32001,"94",2016,1,"7.15",NA,NA,NA,NA
32001,"95",2016,1,"2.37",NA,NA,NA,NA
32001,"96",2016,1,"14.62",NA,NA,NA,NA
32001,"97",2016,1,"12.41",NA,NA,NA,NA
32001,"98",2016,1,"5.68",NA,NA,NA,NA
32001,"99",2016,1,"4.01",NA,NA,NA,NA
32001,"100",2016,1,"12.89",NA,NA,NA,NA
32001,"101",2016,1,"9.39",NA,NA,NA,NA
32001,"102",2016,1,"9.58",NA,NA,NA,NA
32001,"111",2016,1,"22.19",NA,NA,NA,NA
32001,"112",2016,1,"11.61",NA,NA,NA,NA
32001,"113",2016,1,"10.22",NA,NA,NA,NA
32001,"114",2016,1,"30.24",NA,NA,NA,NA
32001,"115",2016,1,"18.26",NA,NA,NA,NA
32001,"116",2016,1,"8.78",NA,NA,NA,NA
