SPATIALUNIT_ID,TYPE_ID,NAME,BFS_NR,NAME_COMBINED,DISTRICT_ID,REGION_ID,COMMUNE_TYPE_ID,ZIP,TEL,FAX,HOMEPAGE,EMAIL,ADRESSE,HEIGHT,AREA
159,1,Zell,231.0,Zell,10.0,9.0,4.0,8487.0,052 397 03 10,052 397 03 18,www.zell.ch,info@zell.ch,Gemeindeverwaltung,545.0,1298
160,1,Aesch ZH,241.0,Aesch ZH,11.0,2.0,5.0,8904.0,043 344 10 10,043 344 10 11,www.aesch-zh.ch,gemeindeverwaltung@aesch-zh.ch,Gemeindeverwaltung,545.0,520
161,1,Birmensdorf,242.0,Birmensdorf,11.0,2.0,3.0,8903.0,044 739 12 00,044 739 12 01,www.birmensdorf.ch,gemeinde@birmensdorf.ch,Gemeindeverwaltung,470.0,1143
162,1,Dietikon,243.0,Dietikon,11.0,2.0,2.0,8953.0,044 744 35 35,044 741 50 16,www.dietikon.ch,stadt@dietikon.ch,Stadtverwaltung,388.0,928
163,1,Geroldswil,244.0,Geroldswil,11.0,2.0,3.0,8954.0,044 749 32 00,044 749 32 90,www.geroldswil.ch,info@geroldswil.ch,Gemeindeverwaltung,403.0,190
164,1,Oberengstringen,245.0,Oberengstringen,11.0,2.0,3.0,8102.0,043 455 17 00 ,043 455 17 01,www.oberengstringen.ch,gemeinde@oberengstringen.ch,Gemeindeverwaltung,410.0,214
165,1,Oetwil a.d.L.,246.0,Oetwil a.d.L.,11.0,2.0,5.0,8955.0,044 749 33 66,044 749 33 78,www.oetwiladl.ch,gemeindeverwaltung@oetwil-limmat.ch,Gemeindeverwaltung,410.0,277
166,1,Schlieren,247.0,Schlieren,11.0,2.0,2.0,8952.0,044 738 14 11 ,044 738 15 90 ,www.schlieren.ch,stadtbuero@schlieren.ch,Stadtverwaltung,393.0,654
167,1,Uitikon,248.0,Uitikon,11.0,2.0,5.0,8142.0,044 200 15 00,044 200 15 01,www.uitikon.ch,info@uitikon.org,Gemeindeverwaltung,553.0,438
168,1,Unterengstringen,249.0,Unterengstringen,11.0,2.0,5.0,8103.0,043 343 20 30,043 343 20 55,www.unterengstringen.ch,info@unterengstringen.ch,Gemeindeverwaltung,410.0,337
169,1,Urdorf,250.0,Urdorf,11.0,2.0,2.0,8902.0,044 736 51 11,044 734 38 58,www.urdorf.ch,gemeinde@urdorf.ch,Gemeindeverwaltung,442.0,757
170,1,Weiningen,251.0,Weiningen,11.0,2.0,3.0,8104.0,044 752 25 25 ,044 750 22 53 ,www.weiningen.ch,gemeindekanzlei@weiningen.ch,Gemeindeverwaltung,413.0,540
171,1,Zuerich,261.0,Zuerich,12.0,1.0,1.0,8000.0,044 412 11 11,044 270 99 80,www.stadt-zuerich.ch,mediendienste@zuerich.ch,Stadtverwaltung,408.0,8790
