"","question","sql"
"1","how high is the share of people living in proximity of a busstop in Bonstetten?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Access by bus [% of inhabitants]' and s.name like 'Bonstetten'"
"2","how high is the share of people living in proximity of a trainstation in Uitikon?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Access by suburban train [% of inhabitants]' and s.name like 'Uitikon'"
"3","how high is the number of cars per capita in Lindau?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Passenger cars per 1000 inhabitants [no.]' and s.name like 'Lindau'"
"4","how high is the share of people living in proximity of a trainstation or busstop in Lufingen?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Accessibility by suburban train+bus [% of inhabitants]' and s.name like 'Lufingen'"
"5","how high is the share of public transport in traffic movements of people living in Dübendorf?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'public transport share (modal split) [%]' and s.name like 'Dübendorf'"
"6","how high is the share of motorised private transport in traffic movements of people living in Dättlikon?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'MIV share (modal split) [%]' and s.name like 'Dättlikon'"
"7","how high is the number of newly registered cars in Niederweningen?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'PW new registrations per 1000 inhabitants [amount]' and s.name like 'Niederweningen'"
"8","how high is the share of hybrid vehicles in Rümlang?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Hybrid motor cars stock [%]' and s.name like 'Rümlang'"
"9","how high is the share of electric vehicles in Ossingen?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'Electric motor cars stock [%]' and s.name like 'Ossingen'"
"10","how high is the share of hybrid vehicles within the newly registered cars in Egg?","select iv.value from indicator_values2 iv
join indicators i on iv.indicator_id = i.indicator_id
join spatialunit s on iv.spatialunit_id = s.spatialunit_id
where i.name like 'New registrations of hybrid motor cars [%]' and s.name like 'Egg'"
